9.392523364485981796e-01,9.345794392523364413e-01,3.449246896551724229e-01,1.670411857330175373e-02,1.552822145722886939e-02,3.560370579361915588e-02,3.579484298825263977e-02,8.186373859643936157e-02,8.576903492212295532e-02
9.392523364485981796e-01,9.299065420560748141e-01,3.515482068965517515e-01,2.863729319493873299e-02,3.439759667549180389e-02,5.234384909272193909e-02,4.744375869631767273e-02,1.376978754997253418e-01,1.233810931444168091e-01
9.252336448598130758e-01,9.252336448598130758e-01,3.539450344827586026e-01,2.548813479632877632e-02,3.281829242521073359e-02,5.203222855925559998e-02,5.419697612524032593e-02,1.371253877878189087e-01,1.510939002037048340e-01
9.205607476635514486e-01,9.158878504672897103e-01,3.482074482758620859e-01,1.394674273146889396e-02,3.466343446930356814e-02,4.277900978922843933e-02,4.199700057506561279e-02,9.820181131362915039e-02,9.491312503814697266e-02
9.345794392523364413e-01,9.299065420560748141e-01,3.481142068965517034e-01,1.722580464548679677e-02,2.327707642889700543e-02,3.818925097584724426e-02,3.360403329133987427e-02,9.121646732091903687e-02,6.831602752208709717e-02
9.532710280373831724e-01,9.579439252336449107e-01,3.509389655172414080e-01,2.063548637061011354e-02,1.283857028619303162e-02,1.677946932613849640e-02,1.718721352517604828e-02,2.627143077552318573e-02,2.840132452547550201e-02
9.579439252336449107e-01,9.532710280373831724e-01,3.445059999999999789e-01,2.169635613675073571e-02,3.141558187099441346e-02,2.240924164652824402e-02,1.622793637216091156e-02,4.010220989584922791e-02,2.640173584222793579e-02
9.532710280373831724e-01,9.532710280373831724e-01,3.530108965517241848e-01,2.253345793104517131e-02,2.237164458854124308e-02,2.953737601637840271e-02,2.324308454990386963e-02,6.839594244956970215e-02,4.939212650060653687e-02
9.532710280373831724e-01,9.532710280373831724e-01,3.519096551724137378e-01,3.381478550232171892e-02,1.188729862225596651e-02,1.466997619718313217e-02,1.681760698556900024e-02,2.302293665707111359e-02,2.890197746455669403e-02
9.299065420560748141e-01,9.392523364485981796e-01,3.494113793103448273e-01,1.728654768235857869e-02,2.729061920408042477e-02,3.476198017597198486e-02,3.370999544858932495e-02,7.127074897289276123e-02,6.964363902807235718e-02
