9.345794392523364413e-01,3.359763075506145419e-02,5.051757022738456726e-02,1.469845920801162720e-01
9.345794392523364413e-01,4.420567233890317776e-02,7.210285961627960205e-02,2.389729171991348267e-01
9.252336448598130758e-01,5.705020537393504232e-02,7.319898903369903564e-02,2.437786459922790527e-01
9.392523364485981796e-01,4.857251218753680377e-02,6.113066896796226501e-02,2.151989042758941650e-01
9.299065420560748141e-01,3.884706311454320243e-02,4.748045280575752258e-02,1.215143352746963501e-01
9.345794392523364413e-01,5.380071291771204578e-02,4.707591235637664795e-02,1.074522584676742554e-01
9.392523364485981796e-01,3.595120860330163620e-02,2.938353270292282104e-02,5.792963877320289612e-02
9.626168224299065379e-01,2.569232762708552331e-02,2.614302560687065125e-02,5.450293049216270447e-02
9.579439252336449107e-01,1.001879636084293534e-02,1.878265850245952606e-02,3.411148861050605774e-02
9.485981308411215451e-01,4.314719347545052652e-02,5.195804685354232788e-02,1.456843316555023193e-01
