9.191355026711995890e-01,9.198640116561437319e-01,3.505210312499999481e-01
9.128217581350169807e-01,9.147644487615347320e-01,3.433176250000000151e-01
9.077221952404079808e-01,9.055366682855755522e-01,3.478212499999999707e-01
9.137931034482759118e-01,9.142787761049052664e-01,3.431254062499999868e-01
9.167071393880524832e-01,9.154929577464788748e-01,3.471854375000000270e-01
9.154929577464788748e-01,9.176784847013113033e-01,3.446970312500000078e-01
9.108790675084992294e-01,9.118504128217581606e-01,3.477520625000000143e-01
9.145216124332200547e-01,9.145216124332200547e-01,3.475279062500000182e-01
9.176784847013113033e-01,9.184069936862554462e-01,3.461525000000000296e-01
9.133074307916464463e-01,9.128217581350169807e-01,3.499788750000000226e-01
