8.444444444444444420e-01,8.333333333333333703e-01,3.524142500000000400e-01
9.000000000000000222e-01,9.000000000000000222e-01,3.473629999999999773e-01
8.333333333333333703e-01,8.222222222222221877e-01,3.495307500000000012e-01
8.111111111111111160e-01,8.111111111111111160e-01,3.560249999999999804e-01
9.111111111111110938e-01,8.888888888888888395e-01,3.497009999999999841e-01
8.666666666666666963e-01,8.444444444444444420e-01,3.408012500000000000e-01
9.111111111111110938e-01,9.111111111111110938e-01,3.525317499999999771e-01
8.555555555555555136e-01,8.555555555555555136e-01,3.403427500000000272e-01
8.888888888888888395e-01,8.888888888888888395e-01,3.510332500000000189e-01
8.555555555555555136e-01,8.555555555555555136e-01,3.502735000000000154e-01
