9.215638659543468059e-01,4.387090625000000799e-01
9.128217581350169807e-01,4.340275312499999871e-01
9.069936862554638379e-01,4.350061562499999979e-01
9.135502671199611235e-01,4.290903749999999683e-01
9.094220495386109437e-01,4.364737187499999616e-01
9.157357940747935521e-01,4.332640312500000146e-01
9.079650315687226581e-01,4.349595312499999755e-01
9.091792132102962665e-01,4.348687187500000495e-01
9.140359397765905891e-01,4.350834687500000353e-01
9.116075764934433723e-01,4.374063437500000373e-01
