9.196211753278290546e-01,3.505689062499999786e-01
9.128217581350169807e-01,3.433042812500000096e-01
9.074793589120933035e-01,3.477681249999999280e-01
9.145216124332200547e-01,3.431078750000000621e-01
9.171928120446818378e-01,3.471748124999999852e-01
9.157357940747935521e-01,3.447802812500000424e-01
9.106362311801845522e-01,3.476503125000000582e-01
9.142787761049052664e-01,3.475899062500000247e-01
9.176784847013113033e-01,3.461778437499999916e-01
9.133074307916464463e-01,3.500214687500000643e-01
